action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1985918,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@@H]1c2ccccc2C[C@@H]1O)[C@@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,"{'bei': '12.05', 'le': '0.23', 'lle': '3.68', 'sei': '6.31'}",CHEMBL1627209,,CHEMBL1627209,7.68,0,http://www.openphacts.org/units/Nanomolar,662588,=,1,1,=,,IC50,nM,,21.1,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,21.1
,,1985919,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,"{'bei': '10.92', 'le': '0.21', 'lle': '3.01', 'sei': '4.68'}",CHEMBL1627287,,CHEMBL1627287,6.81,0,http://www.openphacts.org/units/Nanomolar,662593,=,1,1,=,,IC50,nM,,153.9,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,153.9
,,1985920,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,"{'bei': '11.91', 'le': '0.23', 'lle': '3.63', 'sei': '5.10'}",CHEMBL1627235,,CHEMBL1627235,7.43,0,http://www.openphacts.org/units/Nanomolar,662592,=,1,1,=,,IC50,nM,,37.3,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,37.3
,,1985921,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,N=[S+]([O-])(C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O)C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,"{'bei': '13.20', 'le': '0.25', 'lle': '4.30', 'sei': '5.91'}",CHEMBL1627210,,CHEMBL1627210,8.60,0,http://www.openphacts.org/units/Nanomolar,662591,=,1,1,=,,IC50,nM,,2.5,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,2.5
,,1985922,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,,CHEMBL396814,,CHEMBL396814,,0,http://www.openphacts.org/units/Nanomolar,662590,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,10000.0
,,1985923,[],CHEMBL899796,Inhibition of HIV1 recombinant protease,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,CHEMBL1137472,Bioorg Med Chem Lett,2007,"{'bei': '11.42', 'le': '0.22', 'lle': '3.27', 'sei': '5.98'}",CHEMBL396813,,CHEMBL396813,7.28,0,http://www.openphacts.org/units/Nanomolar,662589,=,1,1,=,,IC50,nM,,53.1,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,53.1
,,2041510,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '15.02', 'le': '0.28', 'lle': '6.35', 'sei': '7.81'}",CHEMBL5483011,,CHEMBL115,9.22,0,http://www.openphacts.org/units/Nanomolar,677446,=,1,1,=,,IC50,nM,,0.6,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,0.6
,,2041511,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '12.02', 'le': '0.22', 'lle': '3.86', 'sei': '5.75'}",CHEMBL397402,,CHEMBL397402,7.38,0,http://www.openphacts.org/units/Nanomolar,677450,=,1,1,=,,IC50,nM,,42.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,42.0
,,2041512,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '13.10', 'le': '0.24', 'lle': '4.72', 'sei': '6.13'}",CHEMBL247614,,CHEMBL247614,7.85,0,http://www.openphacts.org/units/Nanomolar,677449,=,1,1,=,,IC50,nM,,14.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,14.0
,,2041513,[],CHEMBL940805,Inhibition of wild type HIV1 NL4-3 protease,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(C)c1CNC(=O)[C@@H]1CCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,,,CHEMBL1139785,Bioorg Med Chem Lett,2007,"{'bei': '12.03', 'le': '0.22', 'lle': '4.31', 'sei': '5.50'}",CHEMBL247432,,CHEMBL247432,7.05,0,http://www.openphacts.org/units/Nanomolar,677448,=,1,1,=,,IC50,nM,,90.0,CHEMBL2366517,Human immunodeficiency virus 1,Protease,11676,,,IC50,nM,UO_0000065,,90.0
