molecule_chembl_id,canonical_smiles,bio_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1627209,O=C(N[C@@H]1c2ccccc2C[C@@H]1O)[C@@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,active,636.8140000000002,4.001900000000004,4,5,7.675717544702307
CHEMBL1627287,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,active,623.7750000000002,3.8047700000000026,5,6,6.812761380168522
CHEMBL1627235,N=[S+]([O-])([C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,active,623.7750000000002,3.8047700000000026,5,6,7.428291168191312
CHEMBL1627210,N=[S+]([O-])(C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O)C[C@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,active,651.8290000000003,4.2999700000000045,5,6,8.602059991327963
CHEMBL396813,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@H](Cc1ccccc1)C[S+]([O-])C[C@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,active,636.8140000000002,4.001900000000004,4,5,7.274905478918531
CHEMBL5483011,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,active,631.8180000000003,2.0422000000000016,4,7,9.221848749616356
CHEMBL397402,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,active,613.7550000000002,3.5214400000000023,4,6,7.376750709602099
CHEMBL247614,Cc1cccc(C)c1CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,active,599.7280000000002,3.131340000000001,4,6,7.853871964321762
CHEMBL247432,Cc1cccc(C)c1CNC(=O)[C@@H]1CCN1C(=O)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,active,585.7010000000002,2.741240000000001,4,6,7.045757490560675
CHEMBL298393,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CSC1(C)C,active,645.8220000000001,3.820440000000003,4,7,10.522878745280337
CHEMBL397403,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)CCC1(C)C,active,627.782,3.7674400000000023,4,6,9.853871964321762
CHEMBL247616,Cc1nsc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,active,662.8089999999999,3.0945400000000003,4,9,10.0
CHEMBL395207,Cc1noc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,active,646.7409999999999,2.6260399999999997,4,9,9.698970004336019
CHEMBL395214,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)C(=O)N1COC2(CCCC2)[C@H]1C(=O)NCc1c(Cl)cccc1Cl,active,696.6280000000002,4.328000000000003,4,7,9.958607314841775
CHEMBL398053,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC12CCCC2,active,655.7919999999999,3.638040000000002,4,7,10.0
CHEMBL247615,Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)COC1(C)C,active,629.7540000000001,3.1038400000000017,4,7,9.769551078621726
CHEMBL315403,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,active,557.732,3.241600000000001,3,7,8.744727494896694
CHEMBL254349,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,active,560.7130000000004,3.091500000000001,3,7,8.744727494896694
CHEMBL443626,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(cc(O)c(-c4c(O)cc5c(c4O)Oc4c(Oc6cc(O)cc(O)c6)c(O)cc(O)c4O5)c2O)O3)c1,inactive,742.5540000000005,7.201399999999998,12,18,4.088842391260023
CHEMBL478974,COC(=O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,inactive,365.311,5.141900000000005,0,2,5.0
CHEMBL449762,O=C(O)CCCC#CC#C/C=C/CCCCCC/C=C/Br,inactive,351.28399999999993,5.053500000000005,1,1,4.920818753952375
CHEMBL476873,O=C(O)CCCC#C/C=C/CCCC/C=C/C#C/C=C/Br,inactive,349.268,4.829500000000005,1,1,5.0
CHEMBL474065,C/C(=C\CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,inactive,500.67600000000033,4.872600000000005,3,5,4.698970004336019
CHEMBL503829,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](COCc2ccccc2)NS(C)(=O)=O)CSC1(C)C,active,696.8920000000002,2.5143200000000014,4,8,9.2518119729938
